"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"AT5G44630","AT5G44630",0,0,0.468,0.165,0.303,2.52343115082164,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT5G44620","CYP706A3",0,0,0.714,0.307,0.407,1.77688762636202,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT1G21310","EXT3",8.41685147042753e-303,4.51799753229609e-298,0.659,0.354,0.305,1.56654536243079,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT2G02100","LCR69",0,0,0.712,0.393,0.319,1.55074746454679,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT4G11320","AT4G11320",6.06603863805832e-161,3.25612822013695e-156,0.399,0.185,0.214,1.48903438959501,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT5G03150","JKD",0,0,0.263,0.041,0.222,1.48871694511099,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT5G27930","EGR2",8.48356501571799e-308,4.5538080291371e-303,0.573,0.248,0.325,1.40533400992219,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT4G10060","GCD3",4.86134468930754e-298,2.6094726023265e-293,0.24,0.039,0.201,1.37602273274091,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT3G10450","SCPL7",3.89144473072763e-243,2.08884970255998e-238,0.251,0.055,0.196,1.35500205544291,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT1G62480","AT1G62480",1.17566695784749e-114,6.31074509633376e-110,0.426,0.239,0.187,1.33102154362165,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT5G65640","bHLH093",4.28901164104305e-244,2.30225566867909e-239,0.423,0.156,0.267,1.32723322928262,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT1G62500","AT1G62500",1.25364500545558e-186,6.72931566028447e-182,0.356,0.137,0.219,1.30405628432293,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT4G08150","BP",7.31501262632181e-154,3.92655247755702e-149,0.378,0.169,0.209,1.27008706983761,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT1G12090","ELP",1.03410033474657e-186,5.55084377685262e-182,0.317,0.109,0.208,1.2284206387767,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT5G07770","FH16",1.18056372429404e-178,6.33702995926554e-174,0.232,0.062,0.17,1.22390767579344,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT4G00870","bHLH014",4.62579905631754e-196,2.48303641745013e-191,0.449,0.197,0.252,1.20180201645988,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT4G15210","AT-BETA-AMY",2.02085619229758e-85,1.08475518690149e-80,0.223,0.095,0.128,1.18010166428096,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT1G20620","CAT3",3.49285149043144e-181,1.87489282303379e-176,0.571,0.327,0.244,1.17368618204892,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT3G57520","AT3G57520",1.68623530498602e-105,9.05137387010396e-101,0.285,0.127,0.158,1.10977005880482,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT4G29310","AT4G29310",7.24471497237208e-142,3.88881810286989e-137,0.244,0.082,0.162,1.10604893976258,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT5G44730","AT5G44730",1.09749440793476e-178,5.89113048291221e-174,0.406,0.174,0.232,1.10165114921071,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
"AT3G16180","NRT1.12",2.7718069629612e-95,1.48785054157831e-90,0.232,0.097,0.135,1.08789047831926,"Cortex","arabidopsis_thaliana->PO:0009049->PO:0025059->PO:0005708","arabidopsis_thaliana","Inflorescence","SRP320285"
