"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"AT1G78370","GSTU20",0,0,0.792,0.315,0.477,Inf,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G12090","ELP",3.17273656794168e-21,1.70306153493974e-16,0.599,0.519,0.08,Inf,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G62480","AT1G62480",8.13621044574149e-09,0.0004367355043065,0.253,0.191,0.062,Inf,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT4G13430","ATLEUC1",7.87500413512983e-161,4.22714471965499e-156,0.8,0.519,0.281,357.255241254125,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT2G43100","ATLEUD1",0,0,0.607,0.127,0.48,322.630560272386,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT2G24940","MAPR2",2.24768128815918e-181,1.20651036185808e-176,0.942,0.735,0.207,243.282323974132,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT5G40370","GRXC2",3.67715570115752e-10,1.97382363726733e-05,0.906,0.853,0.053,231.740769435823,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT2G43150","EXT21",1.59805777924841e-207,8.5780545474496e-203,0.41,0.089,0.321,217.252339103154,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT4G04830","MSRB5",0,0,0.735,0.228,0.507,189.902612072356,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT3G19710","BCAT4",1.17048439534161e-254,6.28292613731472e-250,0.496,0.111,0.385,184.131352458741,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G31580","CXC750",1.16232654449348e-10,6.23913642553213e-06,0.664,0.744,-0.08,171.147580979448,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT5G14200","IMD1",0,0,0.736,0.193,0.543,166.819318266529,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT4G25100","FSD1",1.0593641201448e-19,5.68645472411326e-15,0.967,0.91,0.0569999999999999,161.048715670159,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT5G23010","GSM1",0,0,0.658,0.187,0.471,159.606020644401,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT2G32487","AT2G32487",4.41619871139035e-209,2.37052714430011e-204,0.46,0.102,0.358,150.949672375221,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G19570","DHAR1",9.33691336321671e-48,5.01186835510747e-43,0.787,0.625,0.162,142.290108502998,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G52400","ATBG1",2.35173681279934e-20,1.26236528637443e-15,0.287,0.174,0.113,131.606763771906,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT3G22890","APS1",1.62819178084291e-39,8.73980784120856e-35,0.916,0.817,0.0990000000000001,126.423856680143,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT4G01700","AT4G01700",2.20305780707705e-16,1.18255736968282e-11,0.546,0.675,-0.129,117.966382205745,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G16410","BUS1",5.47376678886524e-246,2.93820853692708e-241,0.373,0.054,0.319,114.88276997898,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT3G16470","AtJAC1",3.41468382692141e-73,1.83293398461487e-68,0.401,0.177,0.224,112.378636038157,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT5G38980","AT5G38980",1.56477548641807e-23,8.39940185599493e-19,0.647,0.534,0.113,111.486610303852,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT2G25450","GSL-OH",2.22572403664227e-58,1.19472414838884e-53,0.497,0.286,0.211,101.898227880975,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G13930","AT1G13930",4.06698452776794e-17,2.18307595481528e-12,0.749,0.619,0.13,100.455523975741,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT4G14040","EDA38",0,0,0.541,0.098,0.443,94.6847438123334,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G62560","AT1G62560",6.63068196715411e-219,3.55921746632898e-214,0.347,0.054,0.293,94.6129092043695,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G32450","NPF7.3",1.34272194870366e-166,7.20746287625152e-162,0.254,0.034,0.22,92.2412983192873,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT2G46640","TAC1",1.47896644658343e-209,7.93879609197051e-205,0.38,0.069,0.311,90.983134177652,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G76960","AT1G76960",3.86404635459985e-12,2.07414280222211e-07,0.267,0.376,-0.109,84.5851835504246,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT5G35735","AT5G35735",4.98365984658639e-13,2.67512893245064e-08,0.885,0.939,-0.0539999999999999,82.1431714076784,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G74090","SOT18",5.69611040094093e-210,3.05755814101707e-205,0.394,0.077,0.317,78.788908888677,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT3G48740","SWEET11",2.16222707156737e-127,1.16064024747593e-122,0.306,0.07,0.236,77.3724021199962,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G09932","AT1G09932",9.41575917218736e-10,5.05419120844673e-05,0.442,0.382,0.06,75.6845868370349,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT2G39330","JAL23",1.00167332120035e-163,5.37678205353925e-159,0.272,0.041,0.231,74.4834415591678,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G07900","LBD1",3.02211207598962e-45,1.62220932014971e-40,0.233,0.094,0.139,68.7162271051008,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT1G35720","ANN1",9.29049282394446e-88,4.98695073803691e-83,0.689,0.433,0.256,67.2694694779598,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT3G01120","CGS1",1.92477051529974e-55,1.0331783172026e-50,0.526,0.323,0.203,67.247352039522,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT2G46650","CB5-C",5.67797806928789e-189,3.04782506803235e-184,0.901,0.601,0.3,65.8308430026373,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
"AT2G21660","GRP7",8.9820211256837e-19,4.82136929984449e-14,0.949,0.963,-0.014,65.3785481442312,"Bundle sheath","arabidopsis_thaliana->PO:0009025->PO:0025059->PO:0006023","arabidopsis_thaliana","Leaf","SRP253497"
