gene,name,p_val,p_val_adj,pct_1,pct_2,pct_diff,avg_log2FC,clusterName,celltype_id,species,tissue,dataset
Bra005099,Bra005099,0.0,0.0,0.873,0.153,0.72,5.10118717433558,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra013176,Bra013176,0.0,0.0,0.897,0.162,0.735,4.39398592901242,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra015809,Bra015809,0.0,0.0,0.529,0.107,0.422,3.76449664729286,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra011077,Bra011077,0.0,0.0,0.517,0.033,0.484,3.49824206422316,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra010727,Bra010727,0.0,0.0,0.479,0.03,0.449,3.30853801570645,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra029719,Bra029719,0.0,0.0,0.41,0.027,0.383,3.16547705614668,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra017112,Bra017112,0.0,0.0,0.286,0.018,0.268,3.02542940902149,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra017113,Bra017113,0.0,0.0,0.537,0.124,0.413,2.917617707596,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra010820,Bra010820,0.0,0.0,0.726,0.048,0.678,2.86361680543426,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra036788,Bra036788,0.0,0.0,0.459,0.029,0.43,2.7921764560366,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra032857,Bra032857,0.0,0.0,0.656,0.032,0.624,2.48728071092705,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra031784,Bra031784,0.0,0.0,0.466,0.026,0.44,2.47796580187208,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra000903,Bra000903,0.0,0.0,0.62,0.085,0.535,2.43397461428384,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra016855,Bra016855,0.0,0.0,0.465,0.014,0.451,2.43071734669426,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra027168,Bra027168,0.0,0.0,0.423,0.011,0.412,2.28541350815992,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
Bra029415,Bra029415,0.0,0.0,0.45,0.041,0.409,2.2518123491836,Leaf epidermis,brassica_rapa->PO:0009025->PO:0006016,brassica_rapa,Leaf,CRA006988
