gene,name,p_val,p_val_adj,pct_1,pct_2,pct_diff,avg_log2FC,clusterName,celltype_id,species,tissue,dataset
Gbi12G3393,Gbi12G3393,0.0,0.0,0.661,0.112,0.549,inf,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi08G1262,Gbi08G1262,0.0,0.0,0.391,0.02,0.371,302.752636598388,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi09G0938,Gbi09G0938,0.0,0.0,0.462,0.047,0.415,131.07342990665,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi11G4415,Gbi11G4415,0.0,0.0,0.431,0.043,0.388,76.2509912146828,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi04G1862,Gbi04G1862,0.0,0.0,0.336,0.009,0.327,71.7779716822712,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi03G2580,Gbi03G2580,0.0,0.0,0.205,0.007,0.198,54.5048697199518,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi09G1604,Gbi09G1604,0.0,0.0,0.226,0.003,0.223,51.7104146085286,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi08G1265,Gbi08G1265,0.0,0.0,0.465,0.026,0.439,46.8136704099906,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi01G0584,Gbi01G0584,0.0,0.0,0.504,0.026,0.478,46.4063570971105,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi13G2077,Gbi13G2077,0.0,0.0,0.459,0.034,0.425,35.8686687408981,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi09G2082,Gbi09G2082,0.0,0.0,0.344,0.01,0.334,33.7910521587671,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi13G2813,Gbi13G2813,0.0,0.0,0.225,0.005,0.22,22.9499096737368,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi06G1616,Gbi06G1616,0.0,0.0,0.377,0.008,0.369,21.6135818375487,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi01G1549,Gbi01G1549,0.0,0.0,0.331,0.009,0.322,18.1173130569199,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi12G0256,Gbi12G0256,0.0,0.0,0.467,0.051,0.416,15.2458859429103,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi08G0325,Gbi08G0325,0.0,0.0,0.289,0.013,0.276,12.1868011794599,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G1586,Gbi10G1586,0.0,0.0,0.209,0.006,0.203,10.489044401988,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi13G1666,Gbi13G1666,0.0,0.0,0.508,0.064,0.444,8.67821997730599,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi01G0818,Gbi01G0818,0.0,0.0,0.242,0.005,0.237,8.62336756614783,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G1189,Gbi10G1189,0.0,0.0,0.502,0.053,0.449,8.44607534701491,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi12G1372,Gbi12G1372,0.0,0.0,0.364,0.01,0.354,8.27125550245172,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi12G2227,Gbi12G2227,0.0,0.0,0.297,0.008,0.289,7.05477915120243,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi06G2577,Gbi06G2577,0.0,0.0,0.211,0.003,0.208,5.84011653963312,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi11G0346,Gbi11G0346,0.0,0.0,0.519,0.037,0.482,5.56387922513213,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi03G2166,Gbi03G2166,0.0,0.0,0.235,0.007,0.228,4.17321342112768,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G2674,Gbi10G2674,0.0,0.0,0.208,0.005,0.203,4.00093583660443,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi07G2835,Gbi07G2835,0.0,0.0,0.213,0.007,0.206,3.88716859701117,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G1390,Gbi10G1390,0.0,0.0,0.431,0.047,0.384,3.82905761110303,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi12G2586,Gbi12G2586,0.0,0.0,0.24,0.013,0.227,3.41718375776261,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi09G1731,Gbi09G1731,0.0,0.0,0.257,0.013,0.244,2.12020622399576,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi13G3144,Gbi13G3144,0.0,0.0,0.246,0.011,0.235,1.97956188718016,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi13G0907,Gbi13G0907,3.25146152301125e-300,1.4238150009266198e-295,0.218,0.01,0.208,17.5542516746643,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi05G1975,Gbi05G1975,5.30015704769014e-299,2.32093877118351e-294,0.222,0.011,0.211,1.25080569578323,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi07G1820,Gbi07G1820,1.7517339859767298e-278,7.67084312459209e-274,0.363,0.041,0.322,7.82599352503541,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi02G2139,Gbi02G2139,2.54427167579514e-278,1.11413656683069e-273,0.219,0.012,0.207,87.7920859082338,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi11G0478,Gbi11G0478,3.0389730529986496e-270,1.33076629990811e-265,0.211,0.011,0.2,1.69601557671955,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi12G0536,Gbi12G0536,7.886235890490271e-233,3.45338269644569e-228,0.488,0.098,0.39,11.2637842113846,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi08G1368,Gbi08G1368,4.24948024966279e-222,1.86084740132734e-217,0.313,0.038,0.275,1.26659557515222,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi01G0054,Gbi01G0054,2.12453178986429e-215,9.303324707815741e-211,0.29,0.034,0.256,13.8686807684709,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi13G0262,Gbi13G0262,7.1819365651784e-211,3.14497002189162e-206,0.336,0.047,0.289,11.3356925400973,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi01G0683,Gbi01G0683,1.9441886560703602e-210,8.51360212493212e-206,0.226,0.02,0.206,17.765571070663,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi07G2054,Gbi07G2054,3.5185981556120697e-187,1.54079413234252e-182,0.205,0.018,0.187,2.35621832915939,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi11G0229,Gbi11G0229,5.3592248190581196e-176,2.34680454826555e-171,0.321,0.053,0.268,5.32093684670817,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi13G1683,Gbi13G1683,3.1624813451939596e-168,1.38485058106044e-163,0.249,0.031,0.218,0.99766815875201,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi12G3099,Gbi12G3099,1.17919060550485e-164,5.16367566150573e-160,0.242,0.031,0.211,1.50448780589825,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi08G1761,Gbi08G1761,5.951592947771999e-160,2.60620255182936e-155,0.203,0.021,0.182,0.939736173178714,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi07G0645,Gbi07G0645,6.8935505123183505e-155,3.01868576934421e-150,0.201,0.022,0.179,4.01038947731144,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi01G1527,Gbi01G1527,1.7350813282499302e-154,7.59792113640644e-150,0.349,0.069,0.28,73.8474495405165,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi07G1516,Gbi07G1516,4.7241133101626506e-154,2.06868921852022e-149,0.373,0.078,0.295,1.25603661495808,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G2994,Gbi10G2994,2.49208094001221e-153,1.0912822436313401e-148,0.413,0.096,0.317,4.72692183687228,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi11G2299,Gbi11G2299,2.80956849031124e-141,1.23031004190729e-136,0.24,0.035,0.205,2.73499424507104,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G3213,Gbi10G3213,3.8966828632574197e-140,1.70635742582042e-135,0.27,0.045,0.225,2.18155708329521,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi11G4142,Gbi11G4142,2.2734168764923397e-126,9.95529250215996e-122,0.216,0.032,0.184,2.29540333371251,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi04G0775,Gbi04G0775,6.44945338955321e-124,2.82421563928535e-119,0.262,0.047,0.215,1.08924853956059,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi04G1581,Gbi04G1581,3.96448480351606e-123,1.73604789545968e-118,0.203,0.029,0.174,243.603643095989,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi09G2220,Gbi09G2220,1.36491355532461e-122,5.97695645876649e-118,0.61,0.238,0.372,37.2982522488671,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G1579,Gbi10G1579,6.919024529127759e-122,3.02984084130504e-117,0.216,0.033,0.183,17.7482120455441,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi04G2156,Gbi04G2156,5.3246804613312406e-120,2.33167757401695e-115,0.219,0.034,0.185,1.8800508841293,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi11G0506,Gbi11G0506,1.92319906056675e-119,8.4216886862218e-115,0.329,0.075,0.254,7.99962241291992,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi07G1594,Gbi07G1594,8.07416692583205e-110,3.53567769682186e-105,0.477,0.165,0.312,5.85281417568195,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi06G1509,Gbi06G1509,1.17769559685106e-109,5.1571290186108004e-105,0.201,0.031,0.17,7.74850313517492,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi02G0720,Gbi02G0720,3.15405087449039e-104,1.38115887793934e-99,0.323,0.082,0.241,3.67887639648238,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi08G1997,Gbi08G1997,6.99245797773398e-94,3.06199734844971e-89,0.23,0.047,0.183,8.68809367777049,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi07G1654,Gbi07G1654,7.79923695526483e-94,3.41528586271047e-89,0.23,0.047,0.183,0.935916058962986,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G0864,Gbi10G0864,1.67808547753431e-89,7.34833630612273e-85,0.327,0.093,0.234,58.9372719062706,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi06G2312,Gbi06G2312,3.64253809523248e-88,1.5950674319023e-83,0.509,0.216,0.293,13.6935555195524,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi05G0076,Gbi05G0076,9.74668642612678e-88,4.26807398600092e-83,0.543,0.252,0.291,151.271160479095,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi08G1423,Gbi08G1423,1.9173354864002e-82,8.396012094946479e-78,0.289,0.08,0.209,39.2414400556009,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi09G2800,Gbi09G2800,2.14502907893279e-81,9.39308233664668e-77,0.22,0.049,0.171,1.73368905382687,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi06G0049,Gbi06G0049,2.6389634568730498e-80,1.15560209776471e-75,0.286,0.079,0.207,1.75629080086181,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi06G1153,Gbi06G1153,3.36075699945161e-80,1.47167549005986e-75,0.43,0.171,0.259,41.9730612543226,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi12G0265,Gbi12G0265,1.81748783424368e-77,7.95877922615307e-73,0.548,0.255,0.293,44.5117274764687,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi06G0605,Gbi06G0605,4.52529927554635e-74,1.98162855276175e-69,0.434,0.172,0.262,8.30285937118453,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi11G0641,Gbi11G0641,1.82453576515426e-71,7.9896421156105e-67,0.326,0.108,0.218,7.18574324332195,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi09G1138,Gbi09G1138,6.138967731810911e-68,2.68825396976e-63,0.28,0.085,0.195,1.93171445873074,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G2094,Gbi10G2094,9.52504762425433e-66,4.1710183546609706e-61,0.233,0.063,0.17,1.44078996867109,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi09G0875,Gbi09G0875,1.0467430819087201e-65,4.5836879556783004e-61,0.472,0.212,0.26,13.7792608597092,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi03G0336,Gbi03G0336,1.00302684291479e-62,4.39225454512388e-58,0.243,0.07,0.173,3.62630448670226,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi04G1700,Gbi04G1700,1.1596151119116599e-62,5.07795457506116e-58,0.303,0.104,0.199,17.4394038780494,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi09G1002,Gbi09G1002,2.24264159810947e-61,9.820527558121349e-57,0.373,0.147,0.226,8.49696927908343,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi05G1062,Gbi05G1062,2.83238927962281e-59,1.2403032655468301e-54,0.27,0.088,0.182,12.6039939520524,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi05G1564,Gbi05G1564,5.07698512694051e-59,2.2232117870872502e-54,0.774,0.53,0.244,66.0570986678078,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi12G2459,Gbi12G2459,9.652042339063509e-55,4.2266293402759098e-50,0.558,0.739,-0.181,6.79572253074644,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G3093,Gbi10G3093,3.24637765062741e-53,1.42158877320974e-48,0.373,0.162,0.211,75.1255596324356,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi13G4414,Gbi13G4414,2.4767815844350398e-48,1.08458265582411e-43,0.464,0.245,0.219,5.55593331242416,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi12G2774,Gbi12G2774,2.2611848491081002e-46,9.90172845424437e-42,0.496,0.27,0.226,0.7231722456787,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi04G2198,Gbi04G2198,5.23486237463634e-45,2.2923462338532498e-40,0.31,0.127,0.183,0.902380307052944,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi12G3462,Gbi12G3462,8.07581691842936e-45,3.5364002285802198e-40,0.691,0.494,0.197,8.22491473041204,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi13G2514,Gbi13G2514,1.4109751686188902e-44,6.17866026338213e-40,0.326,0.137,0.189,0.973117146578718,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi10G2187,Gbi10G2187,4.54757377473805e-41,1.99138255595779e-36,0.653,0.454,0.199,10.7872778068787,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
Gbi09G0825,Gbi09G0825,1.59472629567396e-40,6.983306448756269e-36,0.353,0.169,0.184,6.37043442558951,Xylem,gossypium_bickii->PO:0009025->PO:0009015->PO:0005352,gossypium_bickii,Seed,SRP424189
