"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
0,2.34205679260311,0.807,0.604,0,"0","MtrunA17Chr2g0299441"
0,2.17463530592241,0.903,0.806,0,"0","MtrunA17Chr1g0178301"
0,1.66443701608145,0.825,0.716,0,"0","MtrunA17Chr8g0366591"
0,1.45894323267108,0.958,0.82,0,"0","MtrunA17Chr2g0294751"
0,1.43884196629894,0.928,0.784,0,"0","MtrunA17Chr2g0302351"
0,1.40961450640424,0.875,0.758,0,"0","MtrunA17Chr4g0047221"
0,1.32899004149727,0.895,0.765,0,"0","MtLegin26"
8.73539862880613e-268,1.26144801965111,0.84,0.674,1.74707972576123e-264,"0","MtrunA17Chr6g0487221"
0,1.26055727197627,0.846,0.691,0,"0","MtrunA17Chr5g0418561"
0,1.22551485179903,0.912,0.792,0,"0","MtrunA17Chr4g0064311"
7.76489876782378e-297,1.20654176131705,0.775,0.665,1.55297975356476e-293,"0","MtrunA17Chr5g0403421"
3.5427582627686e-266,1.12357966037502,0.859,0.7,7.0855165255372e-263,"0","MtrunA17Chr4g0047231"
5.91894909616664e-197,0.979825696466414,0.874,0.762,1.18378981923333e-193,"0","MtrunA17Chr1g0165841"
2.82702212635695e-125,0.952397187070712,0.789,0.696,5.65404425271391e-122,"0","MtrunA17Chr7g0251151"
2.97869600673716e-233,0.938279683631606,0.987,0.883,5.95739201347432e-230,"0","MtrunA17Chr4g0035001"
8.10523488438005e-106,0.917838590508004,0.812,0.738,1.62104697687601e-102,"0","MtrunA17Chr6g0451281"
3.04647830153279e-27,0.900275170628673,0.504,0.416,6.09295660306558e-24,"0","MtrunA17Chr8g0355831"
5.94035070683463e-129,0.874339438914527,0.912,0.819,1.18807014136693e-125,"0","MtrunA17Chr7g0232561"
0.00506747092980971,0.854672276919402,0.488,0.601,1,"0","MtMYB041"
0,0.841602172835611,0.826,0.609,0,"0","MtrunA17Chr5g0402851"
8.20915790867133e-243,0.792801519335508,0.865,0.764,1.64183158173427e-239,"0","MtrunA17Chr1g0189071"
2.07493896904256e-303,0.790814997990933,0.798,0.684,4.14987793808512e-300,"0","MtrunA17Chr5g0403541"
4.16371090816879e-179,0.749635287014264,0.8,0.72,8.32742181633757e-176,"0","MtKunitz37"
2.99941798203998e-121,0.747863597055888,0.887,0.789,5.99883596407995e-118,"0","MtrunA17Chr2g0281901"
2.08351767703292e-87,0.732708773167233,0.839,0.764,4.16703535406583e-84,"0","MtrunA17Chr1g0147611"
6.8295444152011e-170,0.706726333427033,0.721,0.601,1.36590888304022e-166,"0","MtrunA17Chr1g0162351"
7.21511814904868e-20,0.693865879579464,0.668,0.686,1.44302362980974e-16,"0","MtrunA17Chr3g0080941"
3.30916620102446e-81,0.691350835211423,0.644,0.567,6.61833240204893e-78,"0","MtrunA17Chr4g0046331"
