"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"Os05g0190300","LOC_Os05g09740",0,0,0.63,0.169,0.461,4.91050694585212,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os05g0163300","OsFLA9",0,0,0.302,0.057,0.245,4.21248955656594,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0952000","GER8",0,0,0.31,0.072,0.238,3.80825437027541,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0110200","OsAGP12",0,0,0.301,0.049,0.252,3.30345084685192,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os11g0116200","OsLTP1.13",0,0,0.29,0.067,0.223,3.10229751511079,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os11g0115350","LOC_Os11g02369",0,0,0.509,0.248,0.261,2.92005398333887,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0159200","OsFLA8",0,0,0.377,0.151,0.226,2.74512321844072,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os06g0553200","PFL",0,0,0.343,0.135,0.208,2.72078315419492,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os08g0556900","CP",0,0,0.207,0.043,0.164,2.70087616198754,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0111200","OsREM1.3",0,0,0.551,0.199,0.352,2.59069676012471,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0195400","LOC_Os01g09880",0,0,0.324,0.093,0.231,2.50712589653193,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os05g0190500","OsVSP2",0,0,0.599,0.237,0.362,2.45168128908374,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os05g0189900","LOC_Os05g09724",0,0,0.239,0.025,0.214,2.41364206083831,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os05g0135500","prx71",0,0,0.233,0.031,0.202,2.4023628594783,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os06g0589500","LOC_Os06g38960",0,0,0.346,0.09,0.256,2.32077778676415,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0399800","LOC_Os03g28160",0,0,0.4,0.091,0.309,2.30431238546308,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0106400","LOC_Os01g01660",0,0,0.537,0.157,0.38,2.28879421000786,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os11g0629400","LOC_Os11g41150",0,0,0.448,0.201,0.247,2.28247845064135,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os08g0157500","ROMT9",0,0,0.525,0.231,0.294,2.24194413809687,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0750300","OsCesA4",0,0,0.374,0.059,0.315,2.2415127155741,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os07g0462200","LOC_Os07g27810",0,0,0.633,0.391,0.242,2.21348780409073,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os05g0563600","OsFLA6",0,0,0.468,0.216,0.252,2.10379407748908,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0135900","Oshsp17.9B.",0,0,0.626,0.252,0.374,2.08485722266242,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os06g0218600","OsUCL16",0,0,0.379,0.098,0.281,2.05363967971728,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0401300","SUS1",0,0,0.586,0.378,0.208,2.03556014046422,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os02g0626100","OsPAL",0,0,0.8,0.576,0.224,1.95916043602401,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"LOC_Os01g57030","LOC_Os01g57030",0,0,0.249,0.091,0.158,1.90919893955864,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os06g0317600","LOC_Os06g21270",0,0,0.205,0.028,0.177,1.87866449696538,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os09g0422500","BC6",0,0,0.321,0.035,0.286,1.84996989494533,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os10g0467800","CESA7",0,0,0.323,0.035,0.288,1.80126100605497,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0278000","UXS",0,0,0.764,0.55,0.214,1.77453453960108,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os12g0502000","LOC_Os12g31780",0,0,0.58,0.368,0.212,1.75846239678482,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os07g0645000","LOC_Os07g45060",0,0,0.65,0.47,0.18,1.71076729641586,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0878900","LOC_Os01g65690",0,0,0.298,0.105,0.193,1.70309210097014,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0726100","OsTubA3",0,0,0.64,0.462,0.178,1.68613756631141,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os12g0563600","LOC_Os12g37650",0,0,0.32,0.108,0.212,1.67378384513585,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os09g0533900","OsGH9B5",0,0,0.386,0.121,0.265,1.66465562898533,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os10g0503800","OsREM1.2",0,0,0.216,0.029,0.187,1.64848615959382,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os06g0178900","OVP2",0,0,0.321,0.1,0.221,1.64213241416087,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0805900","OsTUB4",0,0,0.463,0.26,0.203,1.62021254390274,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os02g0718600","OsAGP21",0,0,0.794,0.721,0.0730000000000001,1.61826788179048,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os05g0178300","OsCDT5",0,0,0.459,0.197,0.262,1.58082685475913,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os08g0113100","OsFKII",0,0,0.605,0.443,0.162,1.57860731256413,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os07g0500300","LOC_Os07g31720",0,0,0.363,0.184,0.179,1.56477430931048,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0327400","prx16",0,0,0.47,0.23,0.24,1.55461133624611,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os10g0109300","PRX125",0,0,0.332,0.164,0.168,1.55083114979461,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os04g0465600","LOC_Os04g39150",0,0,0.328,0.129,0.199,1.54659641255806,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os04g0545600","OsUCL15",0,0,0.203,0.076,0.127,1.53184193987171,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os11g0549620","OsPAP7",0,0,0.293,0.058,0.235,1.5115257686323,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os07g0604800","UAM3",0,0,0.354,0.161,0.193,1.47053022253165,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os04g0281900","LOC_Os04g21320",0,0,0.551,0.133,0.418,1.45889710051042,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0283300","LOC_Os01g18080",0,0,0.461,0.184,0.277,1.43043557549727,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0282800","OsTUB1",0,0,0.334,0.198,0.136,1.41250455446812,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os06g0156600","OsGELP77",0,0,0.502,0.213,0.289,1.40261443662255,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0251400","LOC_Os01g14850",0,0,0.331,0.22,0.111,1.387776584596,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os04g0408600","LOC_Os04g33450",0,0,0.233,0.036,0.197,1.38168162199411,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os02g0625500","LOC_Os02g41590",0,0,0.562,0.379,0.183,1.37754425591071,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0249200","OsGLP1-1",0,0,0.361,0.101,0.26,1.37461269315989,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os05g0567100","Oryzasin",0,0,0.597,0.391,0.206,1.36134751949544,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os09g0248100","OsFLA11",0,0,0.283,0.095,0.188,1.35893574328207,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os05g0114000","LOC_Os05g02310",0,0,0.467,0.247,0.22,1.35093795712855,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os06g0152100","OsPRF2",0,0,0.949,0.906,0.0429999999999999,1.34884506706873,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os05g0556400","LOC_Os05g48270",0,0,0.255,0.054,0.201,1.33849530945963,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0123500","HB365",0,0,0.414,0.147,0.267,1.32850040321439,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0220100","Os03g0220100",0,0,0.441,0.168,0.273,1.32458186914618,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os11g0247300","TID1",0,0,0.883,0.797,0.086,1.31619091725944,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os08g0498100","OsOMT26",0,0,0.702,0.598,0.104,1.31209577526726,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0736300","OsGH9A3",0,0,0.353,0.141,0.212,1.30801292655524,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0257100","OsRALF-5",0,0,0.339,0.107,0.232,1.29771665055716,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0861100","LOC_Os03g64320",0,0,0.34,0.095,0.245,1.29369497747373,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os12g0623900","LOC_Os12g42876",0,0,0.599,0.394,0.205,1.277936977525,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os05g0495900","Gns8",0,0,0.545,0.234,0.311,1.2522312264993,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os11g0115400","LTP1",0,0,0.356,0.23,0.126,1.24542069277438,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0416200","BC1",0,0,0.203,0.016,0.187,1.22877590587809,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0203400","OsCEP7",0,0,0.29,0.07,0.22,1.21889104826161,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os04g0598000","LOC_Os04g50970",0,0,0.848,0.64,0.208,1.21496067976248,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0245700","LOC_Os03g14170",0,0,0.538,0.211,0.327,1.19103935705471,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"LNC_Os09g33690","LNC_Os09g33690",0,0,0.204,0.016,0.188,1.1903813708398,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0265100","OsARFA1e",0,0,0.371,0.148,0.223,1.18871061737526,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0817800","OsTBL6",0,0,0.31,0.074,0.236,1.1834861431495,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os02g0695600","LOC_Os02g46830",0,0,0.648,0.415,0.233,1.16699501686403,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"LNC_Os11g68470","LNC_Os11g68470",0,0,0.409,0.23,0.179,1.15475458970139,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os08g0137400","OsUCL23",0,0,0.421,0.132,0.289,1.13349253315883,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os12g0174700","LOC_Os12g07580",0,0,0.45,0.193,0.257,1.13103852136065,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os06g0155300","LOC_Os06g06160",0,0,0.56,0.382,0.178,1.12816440227359,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os02g0269200","LOC_Os02g16909",0,0,0.215,0.084,0.131,1.12460598262185,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os11g0644700","LOC_Os11g42500",0,0,0.35,0.235,0.115,1.12205082865482,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os03g0687000","OsNPF2.4",0,0,0.404,0.233,0.171,1.11896507117375,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os04g0527400","LOC_Os04g44530",0,0,0.723,0.565,0.158,1.11657681973987,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os08g0550400","LOC_Os08g43670",0,0,0.53,0.291,0.239,1.10884664966223,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os08g0473900","Os08g0473900",0,0,0.498,0.321,0.177,1.10874931534965,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os07g0564200","LOC_Os07g37700",0,0,0.341,0.096,0.245,1.10223824750732,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os02g0170100","LOC_Os02g07410",0,0,0.379,0.195,0.184,1.09257648578222,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
"Os01g0733500","RD22",0,0,0.308,0.065,0.243,1.09230418271396,"Epidermis","oryza_sativa->PO:0009005;PO:0009025->PO:0005679","oryza_sativa","Root;Leaf","CRA004082"
