"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"Os03g0279200","LOC_Os03g17100",0,0,0.681,0.235,0.446,3.16763404067254,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0835900","LOC_Os01g61920",0,0,0.903,0.454,0.449,2.93645246366643,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os03g0119900","LOC_Os03g02780",0,0,0.722,0.33,0.392,2.87434793304322,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os05g0574300","LOC_Os05g49860",0,0,0.931,0.444,0.487,2.82949376635391,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os08g0490900","LOC_Os08g38300",0,0,0.658,0.179,0.479,2.75977516656454,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os04g0419600","LOC_Os04g34240",0,0,0.294,0.053,0.241,2.63602648248096,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os04g0253000","H1",0,0,0.776,0.233,0.543,2.56177218179238,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os12g0438000","LOC_Os12g25120",0,0,0.876,0.408,0.468,2.49331031093273,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0866200","LOC_Os01g64640",0,0,0.941,0.56,0.381,2.47691728510908,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
"Os01g0152900","OsFbox002",0,0,0.795,0.376,0.419,2.38681523939761,"Initial cell","oryza_sativa->PO:0009025->PO:0004010->PO:0004011","oryza_sativa","Leaf","SRP286275"
