gene,name,p_val,p_val_adj,pct_1,pct_2,pct_diff,avg_log2FC,clusterName,celltype_id,species,tissue,dataset
Solyc04g011390,Solyc04g011390,0,0,0.789,0.334,0.455,2.11288019470838,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g074000,Solyc01g074000,0,0,0.859,0.464,0.395,2.10869367379404,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g086820,Solyc01g086820,0,0,0.812,0.362,0.45,2.07407700183263,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g099410,Solyc01g099410,0,0,0.904,0.653,0.251,1.98499678290709,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc09g082710,Solyc09g082710,0,0,0.856,0.405,0.451,1.83647942297174,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g079110,Solyc01g079110,0,0,0.725,0.276,0.449,1.8265954740624,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc06g064630,Solyc06g064630,0,0,0.987,0.777,0.21,1.7349066061452,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc06g083820,Solyc06g083820,0,0,0.978,0.708,0.27,1.72068817262044,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc11g065190,Solyc11g065190,0,0,0.637,0.167,0.47,1.67003919860927,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc02g077480,Solyc02g077480,0,0,0.796,0.416,0.38,1.64235017108048,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc05g056390,Solyc05g056390,0,0,0.939,0.571,0.368,1.64098037033121,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc03g078290,Solyc03g078290,0,0,0.96,0.567,0.393,1.63410092596824,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g011000,Solyc01g011000,0,0,0.953,0.588,0.365,1.61944974730613,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc06g007220,Solyc06g007220,0,0,0.984,0.795,0.189,1.61401336840312,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc03g120780,Solyc03g120780,0,0,0.985,0.74,0.245,1.59451193967745,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc11g066840,Solyc11g066840,0,0,0.92,0.53,0.39,1.5894765282517,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc03g025270,Solyc03g025270,0,0,0.809,0.266,0.543,1.5883202648496,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc03g080160,Solyc03g080160,0,0,0.956,0.595,0.361,1.57602543221737,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc05g054610,Solyc05g054610,0,0,0.517,0.105,0.412,1.57592060718733,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g096580,Solyc01g096580,0,0,0.985,0.777,0.208,1.57479654374213,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc05g055430,Solyc05g055430,0,0,0.883,0.565,0.318,1.560305825261,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc08g006900,Solyc08g006900,0,0,0.953,0.639,0.314,1.54722293086819,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc10g078540,Solyc10g078540,0,0,0.794,0.259,0.535,1.54626316888803,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc11g066430,Solyc11g066430,0,0,0.779,0.387,0.392,1.54168524124774,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc06g066660,Solyc06g066660,0,0,0.989,0.795,0.194,1.54068720441592,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc09g065330,Solyc09g065330,0,0,0.982,0.735,0.247,1.5104167868716,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc07g009330,Solyc07g009330,0,0,0.995,0.894,0.101,1.51036672708018,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc03g005220,Solyc03g005220,0,0,0.917,0.555,0.362,1.50761211019104,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g099670,Solyc01g099670,0,0,0.99,0.825,0.165,1.5049334866422,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc02g069850,Solyc02g069850,0,0,0.996,0.907,0.089,1.50267952943305,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc06g007210,Solyc06g007210,0,0,0.992,0.816,0.176,1.50021813519475,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc07g066380,Solyc07g066380,0,0,0.981,0.738,0.243,1.50012952370133,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g009447,Solyc01g009447,0,0,0.934,0.578,0.356,1.49832673212952,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc11g072860,Solyc11g072860,0,0,0.648,0.211,0.437,1.4940793104162,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc10g008910,Solyc10g008910,0,0,0.755,0.402,0.353,1.49380997938372,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc09g066430,Solyc09g066430,0,0,0.988,0.782,0.206,1.48990679028534,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc06g073370,Solyc06g073370,0,0,0.979,0.76,0.219,1.48758413976774,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc06g074430,Solyc06g074430,0,0,0.991,0.827,0.164,1.48757013435361,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc02g081810,Solyc02g081810,0,0,0.766,0.248,0.518,1.48750352905716,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc04g074300,Solyc04g074300,0,0,0.992,0.848,0.144,1.48405554395848,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc06g071880,Solyc06g071880,0,0,0.959,0.575,0.384,1.46405547031076,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc10g086020,Solyc10g086020,0,0,0.993,0.868,0.125,1.46351042841105,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc07g063890,Solyc07g063890,0,0,0.96,0.611,0.349,1.46160507411346,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc11g072260,Solyc11g072260,0,0,0.939,0.53,0.409,1.46082962623708,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc10g080590,Solyc10g080590,0,0,0.964,0.662,0.302,1.45997009442563,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g104370,Solyc01g104370,0,0,0.994,0.855,0.139,1.45103982411956,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc06g073800,Solyc06g073800,0,0,0.982,0.772,0.21,1.44360813383954,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc09g083380,Solyc09g083380,0,0,0.643,0.291,0.352,1.43422225456288,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g009100,Solyc01g009100,0,0,0.983,0.784,0.199,1.43395630301706,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc05g053440,Solyc05g053440,0,0,0.983,0.776,0.207,1.43310962313075,5,Unknown,solanum_lycopersicum,Root,GSE212405
Solyc01g100030,Solyc01g100030,0,0,0.504,0.102,0.402,1.42916760859705,5,Unknown,solanum_lycopersicum,Root,GSE212405
