"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"AT2G04025","GLV7",1.80579041290474e-270,9.69312177839007e-266,0.225,0.02,0.205,167.989520420514,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT5G07860","AT5G07860",4.76680671732922e-114,2.55872650972798e-109,0.367,0.128,0.239,163.005786165492,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT2G43610","AT2G43610",0,0,0.726,0.184,0.542,95.7846634436701,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT1G53180","AT1G53180",2.19396096788001e-288,1.17767436833863e-283,0.439,0.084,0.355,94.4023841342922,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT1G54010","GLL23",0,0,0.56,0.05,0.51,92.9694026348009,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT1G54000","GLL22",0,0,0.709,0.134,0.575,90.0839884579187,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT2G36950","AT2G36950",4.21201023791504e-48,2.26092285550804e-43,0.352,0.183,0.169,90.0826722451981,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT2G18193","AT2G18193",1.29790424714259e-36,6.966890417812e-32,0.394,0.233,0.161,84.3126583991715,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT1G28290","AGP31",0,0,0.823,0.25,0.573,56.9020025174725,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT5G09960","AT5G09960",3.34428179739426e-54,1.79514358320529e-49,0.281,0.127,0.154,48.4550757829759,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT5G02020","SIS",2.82488094275246e-119,1.51633959245067e-114,0.372,0.125,0.247,42.7984486935178,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT2G29480","GSTU2",2.31377776668991e-20,1.24198962960381e-15,0.211,0.115,0.096,42.287337702115,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT4G22230","AT4G22230",1.1418424844441e-165,6.12918208799902e-161,0.204,0.029,0.175,39.8195704665854,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT1G54030","ERMO3",0,0,0.687,0.131,0.556,36.801396152803,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT1G78520","AT1G78520",0,0,0.308,0.034,0.274,35.2615752642947,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT3G45970","EXLA1",2.04058645326605e-13,1.09534599638415e-08,0.234,0.154,0.08,31.8726741325442,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT5G63650","SNRK2-5",0,0,0.287,0.023,0.264,30.1180776615899,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
"AT5G44417","AT5G44417",0,0,0.484,0.031,0.453,29.0389211540899,"Columella root cap","arabidopsis_thaliana->PO:0009005->PO:0025059->PO:0020123->PO:0020132","arabidopsis_thaliana","Root","SRP182008"
