"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"AT1G67870","AT1G67870",0,0,0.805,0.084,0.721,5.38845363921182,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT1G64370","AT1G64370",0,0,0.647,0.089,0.558,5.01038664614251,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT4G19840","AN5",0,0,0.843,0.093,0.75,4.75442712130292,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT4G00780","AT4G00780",0,0,0.748,0.068,0.68,4.50684730476645,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT3G15353","MT3",0,0,0.976,0.437,0.539,4.38371841414889,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT1G54410","HIRD11",0,0,0.984,0.561,0.423,4.33120386428086,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT4G19200","AT4G19200",0,0,0.88,0.259,0.621,4.15058008984236,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT5G22090","EAR1",0,0,0.841,0.109,0.732,4.14122685538374,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT4G36570","RL3",0,0,0.492,0.073,0.419,4.12512766507873,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT2G16740","UBC29",0,0,0.72,0.042,0.678,4.06543623020446,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT2G39850","AT2G39850",0,0,0.659,0.015,0.644,4.03559339541805,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
"AT1G24575","AT1G24575",0,0,0.627,0.054,0.573,3.94118031950468,"Companion cell","arabidopsis_thaliana->PO:0025223->PO:0009015->PO:0005417->PO:0000071","arabidopsis_thaliana","Shoot axis apex","CRA002977_2"
