gene,name,p_val,p_val_adj,pct_1,pct_2,pct_diff,avg_log2FC,clusterName,celltype_id,species,tissue,dataset
Ghir_A01G000540,Ghir_A01G000540,0.0,0.0,0.46,0.153,0.307,2.3522637104393,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_D01G000520,Ghir_D01G000520,0.0,0.0,0.385,0.111,0.274,2.11504743703457,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_D02G009090,Ghir_D02G009090,0.0,0.0,0.495,0.195,0.3,1.83315569561414,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_A10G012380,Ghir_A10G012380,0.0,0.0,0.46,0.189,0.271,1.77926422759878,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_A05G041560,Ghir_A05G041560,0.0,0.0,0.422,0.162,0.26,1.71642834524106,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_D04G001380,Ghir_D04G001380,0.0,0.0,0.392,0.143,0.249,1.71080544568046,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_D06G000680,Ghir_D06G000680,0.0,0.0,0.377,0.138,0.239,1.62605395060214,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_A02G008900,Ghir_A02G008900,0.0,0.0,0.579,0.301,0.278,1.5379309165558,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_A09G006330,Ghir_A09G006330,0.0,0.0,0.493,0.25,0.243,1.50258575869117,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_D09G005970,Ghir_D09G005970,0.0,0.0,0.435,0.18,0.255,1.48528429470681,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_A05G017310,Ghir_A05G017310,0.0,0.0,0.436,0.192,0.244,1.46270678379422,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_D11G000390,Ghir_D11G000390,0.0,0.0,0.272,0.067,0.205,1.43280316819581,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_A05G001270,Ghir_A05G001270,0.0,0.0,0.715,0.537,0.178,1.37187651034277,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_A01G009540,Ghir_A01G009540,0.0,0.0,0.661,0.468,0.193,1.0248182168524,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_A02G002640,Ghir_A02G002640,3.1950718422605197e-300,2.2014044993175e-295,0.337,0.119,0.218,1.60080239007593,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_D08G011800,Ghir_D08G011800,2.08442170561373e-297,1.4361665551678599e-292,0.433,0.199,0.234,1.270168110279,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
Ghir_D10G015380,Ghir_D10G015380,1.51375553859379e-293,1.0429775660911199e-288,0.315,0.104,0.211,1.57951719171769,Outer pigment layer,gossypium_hirsutum->PO:0020023->SP:0000030,gossypium_hirsutum,Ovule outer integument,SRP241596
