"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"Os01g0849000","OsLTPd5",1.12165232076143e-185,6.36234845905505e-181,0.26,0.026,0.234,3.00826649104108,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os02g0686100","LOC_Os02g46100",4.09974810291169e-264,2.3255001164146e-259,0.265,0.017,0.248,2.60261504342243,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os01g0839900","LOC_Os01g62260",1.1468672159702e-124,6.50537490914775e-120,0.368,0.081,0.287,2.40411675240918,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os01g0533100","Os01g0533100",1.22551691375301e-247,6.95149958988117e-243,0.212,0.01,0.202,2.32747749966638,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os01g0948600","LOC_Os01g72009",2.61961717505588e-84,1.48592545020695e-79,0.284,0.067,0.217,2.29724517752971,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os03g0250000","OsSCS1",2.70500510876965e-107,1.53436004784741e-102,0.351,0.081,0.27,2.06782968796619,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os01g0121300","LOC_Os01g03110",1.44513832339919e-59,8.1972581118172e-55,0.281,0.083,0.198,1.56803570174502,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os04g0493100","OsbHLH065",8.30147154957023e-61,4.70884370706272e-56,0.337,0.111,0.226,1.52890952619273,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os02g0219900","LOC_Os02g12760",7.75593440565907e-37,4.399398672922e-32,0.209,0.068,0.141,1.4746850051846,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os09g0445600","LOC_Os09g27330",5.82731430222433e-34,3.30542749165071e-29,0.316,0.141,0.175,1.38153424765594,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os05g0573300","LOC_Os05g49770",9.19494470415885e-42,5.21564848454002e-37,0.288,0.107,0.181,1.36754107817842,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os01g0880300","OsPME7",6.3302682878135e-39,3.59071808089645e-34,0.228,0.076,0.152,1.34058349547967,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os03g0327600","LOC_Os03g21040",4.59748222837268e-39,2.60782984439984e-34,0.325,0.138,0.187,1.34027595128145,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
"Os01g0270300","prx4",1.06867493815737e-28,6.06184485171008e-24,0.204,0.076,0.128,1.26001484850565,"CT-Ovule","oryza_sativa->PO:0009062->PO:0020003->SP:0000039","oryza_sativa","Pistil","SRP386976"
