"gene","name","p_val","p_val_adj","pct_1","pct_2","pct_diff","avg_log2FC","clusterName","celltype_id","species","tissue","dataset"
"Os06g0681600","prx89",0,0,0.914,0.341,0.573,3.10660057794239,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os01g0263300","atp6",0,0,0.991,0.663,0.328,2.93979730232883,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os02g0653200","OsUCL4",0,0,0.843,0.354,0.489,2.3875084843576,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os06g0143100","OsCDT2",0,0,0.832,0.28,0.552,2.31585043974861,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os05g0153300","LOC_Os05g06140",0,0,0.512,0.079,0.433,1.99143260268224,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os09g0518200","OsSGT",0,0,0.612,0.303,0.309,1.97845409867449,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os10g0555900","OsEXPB3",0,0,0.412,0.162,0.25,1.86709733151997,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os06g0538900","LOC_Os06g34790",0,0,0.617,0.222,0.395,1.76357387224159,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os03g0102500","LOC_Os03g01260",0,0,0.652,0.303,0.349,1.71492137780027,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os05g0499300","Pox1(Px",0,0,0.89,0.626,0.264,1.66213599692324,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os05g0134800","prx67",0,0,0.763,0.464,0.299,1.57654523662287,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os10g0493600","alphaGa1",0,0,0.732,0.423,0.309,1.52775758411882,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os01g0291500","OsAT4",0,0,0.765,0.41,0.355,1.49683785626385,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os07g0174900","OsLTPG16",0,0,0.358,0.062,0.296,1.35417450294731,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
"Os01g0358100","OsRALF-6",0,0,0.805,0.49,0.315,1.35308168353667,"Exodermis","oryza_sativa->PO:0009005->PO:0025059->PO:0000258->PO:0005772","oryza_sativa","Root","SRP309176"
