"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
"1",0,3.66928386338408,0.92,0.136,0,"EMC","Os02g0595900"
"2",0,3.08434310864344,0.625,0.045,0,"EMC","Os02g0112600"
"3",0,2.67578910508197,0.838,0.239,0,"EMC","Os07g0639000"
"4",0,2.63988377378494,0.693,0.153,0,"EMC","Os04g0460350"
"5",0,2.41838167553643,0.422,0.05,0,"EMC","Os10g0454200"
"6",0,2.31403369156293,0.389,0.081,0,"EMC","Os03g0734300"
"7",0,2.21518616994685,0.641,0.172,0,"EMC","Os03g0233900"
"8",0,2.21155802548959,0.501,0.101,0,"EMC","Os04g0494600"
"9",0,2.19979365584459,0.503,0.064,0,"EMC","Os03g0155500"
"10",0,2.13505908033976,0.776,0.401,0,"EMC","Os05g0584200"
"11",0,2.10777807167424,0.506,0.128,0,"EMC","Os10g0370800"
"12",0,2.03061502354897,0.637,0.131,0,"EMC","Os10g0193100"
"13",0,2.02962441672308,0.377,0.089,0,"EMC","Os03g0734100"
"14",0,1.99927821855239,0.501,0.173,0,"EMC","Os01g0947000"
"15",0,1.93923828607491,0.314,0.02,0,"EMC","Os06g0180100"
"16",0,1.92495550021231,0.459,0.089,0,"EMC","Os03g0699800"
"17",0,1.92390028694242,0.486,0.154,0,"EMC","Os01g0945600"
"18",0,1.90493426853636,0.333,0.06,0,"EMC","Os07g0531400"
"19",0,1.89555931146796,0.805,0.35,0,"EMC","Os03g0655400"
"20",0,1.88604990198506,0.386,0.05,0,"EMC","Os01g0868600"
"21",0,1.82475438517374,0.436,0.12,0,"EMC","Os06g0549600"
"22",0,1.80925042335271,0.386,0.07,0,"EMC","Os02g0554900"
"23",0,1.7942214240929,0.835,0.601,0,"EMC","Os11g0557800"
"24",3.05672519465363e-266,1.78019381235495,0.652,0.438,9.04087610822703e-262,"EMC","Os06g0514800"
"25",0,1.77156041371387,0.611,0.256,0,"EMC","Os07g0630400"
"26",0,1.74649237156445,0.366,0.07,0,"EMC","Os01g0704100"
"27",0,1.70213197867891,0.364,0.064,0,"EMC","Os12g0455000"
"28",0,1.69751353427365,0.751,0.239,0,"EMC","Os03g0223400"
"29",0,1.68983746443712,0.401,0.094,0,"EMC","Os05g0138200"
"30",0,1.68747711058731,0.977,0.809,0,"EMC","Os07g0274700"
"31",0,1.67709280703795,0.392,0.081,0,"EMC","Os05g0277000"
"32",0,1.66661670664519,0.728,0.388,0,"EMC","Os01g0639900"
"33",0,1.65215319998996,0.431,0.123,0,"EMC","Os12g0555200"
"34",0,1.63467378742664,0.376,0.109,0,"EMC","Os08g0398300"
"35",0,1.62194133591842,0.387,0.08,0,"EMC","Os05g0524500"
"36",0,1.61315442133145,0.713,0.34,0,"EMC","Os06g0306300"
"37",0,1.60090820571214,0.73,0.381,0,"EMC","Os12g0114000"
"38",1.08530374900963e-213,1.59976430058969,0.442,0.228,3.21000289844579e-209,"EMC","Os03g0230300"
"39",0,1.57796513644644,0.619,0.338,0,"EMC","Os03g0368000"
"40",0,1.55780030113599,0.557,0.275,0,"EMC","Os07g0418500"
"41",0,1.55151010866227,0.304,0.081,0,"EMC","Os03g0155900"
"42",0,1.52937634604355,0.393,0.122,0,"EMC","Os01g0357100"
"43",0,1.51160520326381,0.33,0.07,0,"EMC","Os04g0103601"
"44",7.17216031851885e-232,1.50628063933703,0.312,0.115,2.12130985740832e-227,"EMC","Os09g0472100"
"45",0,1.50525689561382,0.44,0.162,0,"EMC","Os04g0611400"
"46",3.23871029448276e-242,1.49550591885779,0.44,0.221,9.57913343799166e-238,"EMC","Os03g0360700"
"47",0,1.47537870226041,0.592,0.26,0,"EMC","Os05g0276500"
"48",6.32796797395786e-226,1.47259044131416,0.414,0.203,1.87162308765752e-221,"EMC","Os11g0587600"
"49",5.58111312322345e-270,1.44300929333529,0.418,0.172,1.6507258284558e-265,"EMC","Os08g0412700"
"50",6.42302794297089e-258,1.42876820453054,0.521,0.288,1.8997389746925e-253,"EMC","Os01g0916400"
"51",0,1.42105073160488,0.578,0.229,0,"EMC","Os10g0113100"
"52",0,1.40844936106827,0.923,0.717,0,"EMC","Os03g0606200"
"53",0,1.40755747252147,0.649,0.288,0,"EMC","Os08g0127100"
"54",5.80988895406426e-255,1.40307630112489,0.587,0.378,1.71839085594359e-250,"EMC","Os11g0484500"
"55",3.35729170603611e-165,1.39510733869297,0.522,0.387,9.929861678943e-161,"EMC","Os07g0191200"
"56",0,1.39464689437206,0.31,0.066,0,"EMC","Os01g0937050"
"57",1.01184944193158e-272,1.39316582273934,0.65,0.46,2.99274709440105e-268,"EMC","Os06g0470000"
"58",0,1.35657276996127,0.749,0.626,0,"EMC","Os08g0558900"
"59",0,1.3526864315236,0.909,0.761,0,"EMC","Os02g0256200"
"60",5.7193749245483e-170,1.34523407813662,0.48,0.3,1.69161952143365e-165,"EMC","Os07g0584100"
"61",1.53594108625705e-170,1.33519727108715,0.59,0.501,4.54285295082248e-166,"EMC","Os05g0443500"
"62",5.75279144112138e-215,1.33344250849209,0.661,0.467,1.70150312454047e-210,"EMC","Os05g0134700"
"63",2.33041754402629e-206,1.32504202680432,0.358,0.158,6.89267596996656e-202,"EMC","Os03g0784700"
"64",1.50884223298944e-163,1.31044151121233,0.427,0.245,4.46270267251286e-159,"EMC","Os12g0118200"
"65",4.74666200929083e-125,1.308177323319,0.347,0.199,1.40392022248795e-120,"EMC","Os08g0112500"
"66",0,1.28991001852313,0.612,0.3,0,"EMC","Os02g0605900"
"67",5.39929132285042e-148,1.28867540570863,0.439,0.275,1.59694839455947e-143,"EMC","Os01g0627600"
"68",0,1.28313637633674,0.982,0.919,0,"EMC","Os07g0647500"
"69",8.51089327648516e-143,1.28270933143718,0.478,0.316,2.51726690438602e-138,"EMC","Os01g0760000"
"70",0,1.26321272184353,0.981,0.9,0,"EMC","Os12g0561000"
"71",2.13050397212135e-230,1.25621395401976,0.752,0.69,6.30139159834333e-226,"EMC","Os05g0129300"
"72",1.90830453509259e-115,1.25168298389888,0.407,0.261,5.64419232344337e-111,"EMC","Os07g0509800"
"73",3.08677253794833e-160,1.23666418689025,0.551,0.415,9.12974713548978e-156,"EMC","Os03g0659400"
"74",1.3141742823392e-120,1.2364594360614,0.489,0.38,3.88693327487466e-116,"EMC","Os10g0513200"
"75",1.5108658791092e-302,1.2239667170934,0.699,0.44,4.46868801064129e-298,"EMC","Os10g0444700"
"76",2.6676386152164e-124,1.22242015078728,0.316,0.169,7.89007473222555e-120,"EMC","Os04g0401700"
"77",3.40068055497913e-99,1.21505102088005,0.543,0.435,1.00581928774618e-94,"EMC","Os07g0192000"
"78",4.23698600341991e-109,1.21416342889495,0.484,0.378,1.25317335023151e-104,"EMC","Os02g0129700"
"79",2.64689942165651e-230,1.20575001618328,0.741,0.667,7.82873441943345e-226,"EMC","Os04g0656100"
"80",8.15655221148535e-296,1.20522585932911,0.323,0.094,2.41246344759102e-291,"EMC","Os06g0266400"
"81",3.74766746321523e-178,1.20047177196534,0.369,0.172,1.10844760559517e-173,"EMC","Os10g0481300"
"82",1.26202708148526e-89,1.19788814377003,0.396,0.295,3.73269749890895e-85,"EMC","Os07g0446600"
"83",0,1.18534529879806,0.97,0.89,0,"EMC","Os08g0205400"
"84",9.12299109511639e-136,1.18438306750119,0.528,0.426,2.69830707620257e-131,"EMC","Os08g0523600"
"85",4.27519322830103e-141,1.17715581863847,0.494,0.327,1.2644739011346e-136,"EMC","Os01g0803200"
"86",0,1.17671314099936,0.73,0.457,0,"EMC","Os02g0575000"
"87",0,1.17122110015111,0.796,0.63,0,"EMC","Os01g0264400"
"88",1.61012249493133e-108,1.17011072245475,0.472,0.362,4.76225930325838e-104,"EMC","Os03g0726500"
"89",1.40037850859769e-179,1.16296413468611,0.352,0.159,4.1418995148794e-175,"EMC","Os12g0432600"
