"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
0,3.66928386338408,0.92,0.136,0,"EMC","Os02g0595900"
0,3.08434310864344,0.625,0.045,0,"EMC","Os02g0112600"
0,2.67578910508197,0.838,0.239,0,"EMC","Os07g0639000"
0,2.63988377378494,0.693,0.153,0,"EMC","Os04g0460350"
0,2.21518616994685,0.641,0.172,0,"EMC","Os03g0233900"
0,2.21155802548959,0.501,0.101,0,"EMC","Os04g0494600"
0,2.19979365584459,0.503,0.064,0,"EMC","Os03g0155500"
0,2.13505908033976,0.776,0.401,0,"EMC","Os05g0584200"
0,2.10777807167424,0.506,0.128,0,"EMC","Os10g0370800"
0,2.03061502354897,0.637,0.131,0,"EMC","Os10g0193100"
0,1.99927821855239,0.501,0.173,0,"EMC","Os01g0947000"
0,1.89555931146796,0.805,0.35,0,"EMC","Os03g0655400"
0,1.7942214240929,0.835,0.601,0,"EMC","Os11g0557800"
3.05672519465439e-266,1.78019381235495,0.652,0.438,9.04087610822928e-262,"EMC","Os06g0514800"
0,1.77156041371387,0.611,0.256,0,"EMC","Os07g0630400"
0,1.69751353427365,0.751,0.239,0,"EMC","Os03g0223400"
0,1.68747711058731,0.977,0.809,0,"EMC","Os07g0274700"
0,1.66661670664519,0.728,0.388,0,"EMC","Os01g0639900"
0,1.61315442133145,0.713,0.34,0,"EMC","Os06g0306300"
0,1.60090820571214,0.73,0.381,0,"EMC","Os12g0114000"
0,1.57796513644644,0.619,0.338,0,"EMC","Os03g0368000"
0,1.55780030113599,0.557,0.275,0,"EMC","Os07g0418500"
0,1.47537870226041,0.592,0.26,0,"EMC","Os05g0276500"
6.42302794297089e-258,1.42876820453054,0.521,0.288,1.8997389746925e-253,"EMC","Os01g0916400"
0,1.42105073160488,0.578,0.229,0,"EMC","Os10g0113100"
0,1.40844936106827,0.923,0.717,0,"EMC","Os03g0606200"
0,1.40755747252147,0.649,0.288,0,"EMC","Os08g0127100"
5.80988895406426e-255,1.40307630112489,0.587,0.378,1.71839085594359e-250,"EMC","Os11g0484500"
3.35729170603611e-165,1.39510733869297,0.522,0.387,9.929861678943e-161,"EMC","Os07g0191200"
1.01184944193158e-272,1.39316582273934,0.65,0.46,2.99274709440105e-268,"EMC","Os06g0470000"
0,1.35657276996127,0.749,0.626,0,"EMC","Os08g0558900"
0,1.3526864315236,0.909,0.761,0,"EMC","Os02g0256200"
1.53594108625705e-170,1.33519727108715,0.59,0.501,4.54285295082248e-166,"EMC","Os05g0443500"
5.75279144112138e-215,1.33344250849209,0.661,0.467,1.70150312454047e-210,"EMC","Os05g0134700"
0,1.28991001852313,0.612,0.3,0,"EMC","Os02g0605900"
0,1.28313637633674,0.982,0.919,0,"EMC","Os07g0647500"
0,1.26321272184353,0.981,0.9,0,"EMC","Os12g0561000"
2.13050397212184e-230,1.25621395401976,0.752,0.69,6.30139159834478e-226,"EMC","Os05g0129300"
3.08677253794833e-160,1.23666418689025,0.551,0.415,9.12974713548978e-156,"EMC","Os03g0659400"
1.5108658791092e-302,1.2239667170934,0.699,0.44,4.46868801064129e-298,"EMC","Os10g0444700"
3.40068055497939e-99,1.21505102088005,0.543,0.435,1.00581928774625e-94,"EMC","Os07g0192000"
2.64689942165651e-230,1.20575001618328,0.741,0.667,7.82873441943345e-226,"EMC","Os04g0656100"
0,1.18534529879806,0.97,0.89,0,"EMC","Os08g0205400"
9.12299109511639e-136,1.18438306750119,0.528,0.426,2.69830707620257e-131,"EMC","Os08g0523600"
0,1.17671314099936,0.73,0.457,0,"EMC","Os02g0575000"
0,1.17122110015111,0.796,0.63,0,"EMC","Os01g0264400"
0,1.15262310915212,0.774,0.579,0,"EMC","Os04g0530200"
1.8535118205431e-141,1.14940112011147,0.529,0.393,5.48213191162032e-137,"EMC","Os07g0620500"
3.68227905727189e-101,1.13691102479836,0.504,0.441,1.08910767676931e-96,"EMC","Os08g0566900"
0,1.1180913211641,0.876,0.784,0,"EMC","Os11g0162200"
3.65371606883813e-267,1.11485060409992,0.633,0.356,1.08065960168025e-262,"EMC","Os07g0162400"
0,1.10508558294608,0.908,0.795,0,"EMC","Os04g0117100"
0,1.10321104829678,0.818,0.706,0,"EMC","Os02g0178400"
8.56542659959949e-155,1.10196483168689,0.619,0.554,2.53339622536354e-150,"EMC","Os09g0369000"
0,1.09640795163842,0.867,0.774,0,"EMC","Os05g0542100"
3.3840237172684e-211,1.05236547091562,0.693,0.487,1.00089269485647e-206,"EMC","Os10g0510500"
0,1.04883686058178,0.936,0.772,0,"EMC","Os01g0284500"
3.92148606956118e-90,1.04098675165832,0.531,0.488,1.15985793479411e-85,"EMC","Os01g0962400"
0,1.03185314898328,0.867,0.761,0,"EMC","Os06g0175900"
7.77914904694655e-263,1.02543610671013,0.855,0.793,2.30083891361538e-258,"EMC","Os07g0246200"
1.30107348747864e-213,1.01752236214369,0.701,0.604,3.84818505391557e-209,"EMC","Os05g0453700"
1.01297383040195e-84,1.01309552947047,0.637,0.579,2.99607269817985e-80,"EMC","Os03g0781501"
0,0.991073174349744,0.945,0.872,0,"EMC","Os04g0432600"
1.07580895557563e-132,0.963395399183828,0.849,0.892,3.18192014790605e-128,"EMC","Os06g0319133"
6.44564736554874e-117,0.95906987314743,0.556,0.422,1.90642912130835e-112,"EMC","Os01g0508100"
0,0.956262189614209,0.876,0.822,0,"EMC","Os02g0564200"
3.26427097299301e-164,0.955200621720672,0.512,0.293,9.65473425682141e-160,"EMC","Os10g0527400"
0,0.95055317919852,0.616,0.202,0,"EMC","Os10g0555700"
1.59341139137622e-225,0.946527155971434,0.753,0.705,4.71283287227346e-221,"EMC","Os03g0756800"
8.17000559326309e-77,0.930959034424723,0.557,0.56,2.41644255431943e-72,"EMC","Os03g0136900"
2.10803839664981e-149,0.916526218723452,0.657,0.486,6.23494516577116e-145,"EMC","Os08g0205800"
3.23166431570774e-62,0.91296774845056,0.511,0.507,9.55829354656879e-58,"EMC","Os03g0795800"
2.6717024915003e-142,0.901469312392859,0.58,0.409,7.90209445911044e-138,"EMC","Os03g0845000"
1.53347444874702e-299,0.894050741461403,0.909,0.827,4.53555737705906e-295,"EMC","Os02g0718900"
2.05463845992968e-91,0.892939303666597,0.59,0.55,6.07700417293402e-87,"EMC","Os04g0450100"
2.92025592249258e-66,0.892759860188575,0.543,0.498,8.63724094195631e-62,"EMC","Os12g0405700"
1.63101621159718e-121,0.886024516058788,0.635,0.619,4.82405664904097e-117,"EMC","Os06g0125132"
5.26296845580142e-203,0.883780124269522,0.676,0.437,1.55662818017239e-198,"EMC","Os05g0134800"
5.97754748869259e-226,0.883040164031696,0.785,0.668,1.76797922073061e-221,"EMC","Os04g0531100"
0,0.867794111428017,0.879,0.817,0,"EMC","Os05g0481600"
1.22840420010346e-64,0.859043801954052,0.532,0.532,3.63325110264601e-60,"EMC","Os04g0103300"
1.66783127286268e-47,0.854277883599837,0.534,0.566,4.93294455574595e-43,"EMC","Os01g0918300"
4.81204778527083e-271,0.84858236797245,0.854,0.768,1.42325937344955e-266,"EMC","Os05g0402700"
1.91538676311926e-89,0.846124006192709,0.629,0.631,5.66513942927784e-85,"EMC","Os11g0637501"
1.5205489497729e-304,0.822424783719047,0.871,0.814,4.49732762874331e-300,"EMC","Os01g0750800"
9.05968676213757e-161,0.818941916190753,0.71,0.677,2.67958355363743e-156,"EMC","Os01g0316800"
4.03998217720729e-57,0.817864183036047,0.529,0.528,1.1949055285526e-52,"EMC","Os02g0525900"
5.19662851241451e-83,0.813175493664698,0.595,0.59,1.53700681511684e-78,"EMC","Os01g0705500"
0,0.806262811132432,0.911,0.826,0,"EMC","Os08g0162800"
8.41443948630083e-75,0.794689315854283,0.546,0.464,2.4887387668632e-70,"EMC","Os04g0488700"
1.09121888667658e-179,0.793476619257306,0.81,0.707,3.22749810112332e-175,"EMC","Os05g0119300"
5.76728075570162e-274,0.793414939751923,0.87,0.814,1.70578862911387e-269,"EMC","Os04g0498200"
3.09850125401228e-54,0.788334094152416,0.556,0.585,9.16443715899213e-50,"EMC","Os01g0908400"
6.98391541103766e-117,0.78071658038456,0.588,0.438,2.06563266112261e-112,"EMC","Os01g0639600"
1.3037210797046e-34,0.773460134909135,0.498,0.544,3.8560158374423e-30,"EMC","Os09g0510000"
3.34811127679578e-118,0.77212387153262,0.63,0.49,9.90270872337887e-114,"EMC","Os01g0838200"
1.60554513939771e-102,0.76400508129417,0.6,0.478,4.74872085879661e-98,"EMC","Os02g0205500"
1.17503662345598e-52,0.749806871667598,0.55,0.582,3.47540582119576e-48,"EMC","Os10g0442600"
6.68267142974669e-102,0.747975563992402,0.659,0.678,1.97653372877618e-97,"EMC","Os11g0425600"
2.26138843448029e-127,0.742841717575883,0.705,0.694,6.68850857266234e-123,"EMC","Os04g0310500"
1.08731654477522e-296,0.74029585849252,0.908,0.862,3.21595614448166e-292,"EMC","Os08g0250200"
4.39914172300639e-168,0.72251275183077,0.684,0.525,1.3011341474136e-163,"EMC","Os06g0239200"
8.3125644171276e-122,0.721010234541471,0.705,0.705,2.45860717765383e-117,"EMC","Os09g0560300"
2.18343578806261e-243,0.720631066820326,0.828,0.642,6.45794803035279e-239,"EMC","Os02g0209300"
1.82447563200677e-37,0.712687282990429,0.504,0.51,5.39625157678641e-33,"EMC","Os02g0760500"
1.48330414415768e-204,0.702573424185404,0.829,0.802,4.38716866717517e-200,"EMC","Os07g0498300"
5.35289511764655e-147,0.702276383104575,0.858,0.867,1.58322578894632e-142,"EMC","Os08g0129800"
8.85909994891125e-29,0.700227848767357,0.488,0.522,2.62025599188948e-24,"EMC","Os01g0172400"
2.63391949269475e-208,0.6999874258392,0.847,0.811,7.79034368354326e-204,"EMC","Os04g0660600"
