"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
"1",0,3.37745696231148,0.667,0.155,0,"Meristem","Os08g0561500"
"2",0,2.42962401760304,0.422,0.167,0,"Meristem","Os08g0503000"
"3",0,1.97730259163921,0.611,0.21,0,"Meristem","Os03g0241200"
"4",0,1.77810536439363,0.335,0.094,0,"Meristem","Os04g0105200"
"5",0,1.776618940457,0.61,0.19,0,"Meristem","Os01g0260800"
"6",0,1.75649696379854,0.496,0.137,0,"Meristem","Os05g0597100"
"7",0,1.66476305274143,0.761,0.47,0,"Meristem","Os03g0139100"
"8",0,1.65684577954448,0.333,0.089,0,"Meristem","Os03g0146300"
"9",0,1.64762121135629,0.445,0.098,0,"Meristem","Os02g0519700"
"10",0,1.63578266815441,0.84,0.614,0,"Meristem","Os03g0424800"
"11",0,1.63345426249863,0.427,0.104,0,"Meristem","Os01g0763900"
"12",0,1.62725454289078,0.799,0.555,0,"Meristem","Os03g0408300"
"13",0,1.62205811301453,0.537,0.185,0,"Meristem","Os01g0723200"
"14",0,1.62067858588919,0.319,0.044,0,"Meristem","Os03g0192600"
"15",0,1.61796395687888,0.403,0.128,0,"Meristem","Os01g0838350"
"16",0,1.61668028645052,0.757,0.463,0,"Meristem","Os03g0598800"
"17",0,1.59781451257653,0.729,0.44,0,"Meristem","Os05g0155100"
"18",0,1.59572058249782,0.647,0.324,0,"Meristem","Os02g0478700"
"19",0,1.59571138907067,0.776,0.515,0,"Meristem","Os08g0117300"
"20",0,1.59208256906659,0.697,0.401,0,"Meristem","Os10g0465800"
"21",0,1.59061358696842,0.679,0.369,0,"Meristem","Os03g0424500"
"22",0,1.59042719065243,0.451,0.149,0,"Meristem","Os06g0686600"
"23",0,1.58790743688306,0.483,0.14,0,"Meristem","Os02g0617800"
"24",0,1.58167005969734,0.664,0.348,0,"Meristem","Os10g0564300"
"25",0,1.56054798838404,0.641,0.359,0,"Meristem","Os09g0413500"
"26",0,1.55876776917347,0.809,0.553,0,"Meristem","Os05g0160200"
"27",6.60191495481978e-207,1.5582452671823,0.653,0.455,1.95264838618705e-202,"Meristem","Os04g0418800"
"28",0,1.54696821701238,0.819,0.627,0,"Meristem","Os02g0717800"
"29",0,1.54646779223653,0.822,0.579,0,"Meristem","Os12g0567700"
"30",0,1.52603515384309,0.698,0.417,0,"Meristem","Os02g0622300"
"31",0,1.5196883551641,0.745,0.481,0,"Meristem","Os09g0258600"
"32",0,1.51301463832548,0.878,0.681,0,"Meristem","Os08g0116500"
"33",0,1.51242358214582,0.819,0.572,0,"Meristem","Os07g0565100"
"34",0,1.51184921860887,0.644,0.339,0,"Meristem","Os07g0229900"
"35",0,1.51160199783988,0.72,0.415,0,"Meristem","Os01g0191100"
"36",0,1.51122681959319,0.673,0.394,0,"Meristem","Os03g0154700"
"37",0,1.50525702655341,0.699,0.432,0,"Meristem","Os05g0490100"
"38",0,1.49979927925364,0.557,0.246,0,"Meristem","Os01g0100700"
"39",0,1.49675882356814,0.655,0.368,0,"Meristem","Os07g0622100"
"40",0,1.49193350480996,0.301,0.041,0,"Meristem","Os01g0914000"
"41",0,1.48589327991757,0.517,0.23,0,"Meristem","Os02g0618250"
"42",0,1.48483115623734,0.72,0.476,0,"Meristem","Os01g0834500"
"43",0,1.47289211238745,0.769,0.535,0,"Meristem","Os03g0141000"
"44",0,1.47218492873963,0.707,0.453,0,"Meristem","Os08g0326400"
"45",0,1.47024944702225,0.707,0.412,0,"Meristem","Os09g0507800"
"46",0,1.46813635013849,0.757,0.549,0,"Meristem","Os03g0756000"
"47",0,1.45907685983892,0.679,0.406,0,"Meristem","Os03g0200500"
"48",0,1.45854418212213,0.774,0.527,0,"Meristem","Os01g0896700"
"49",0,1.45319109866174,0.663,0.374,0,"Meristem","Os08g0234000"
"50",0,1.45311593325113,0.747,0.507,0,"Meristem","Os03g0337800"
"51",0,1.45243941911084,0.642,0.364,0,"Meristem","Os07g0208000"
"52",0,1.44867241702921,0.699,0.442,0,"Meristem","Os03g0807800"
"53",0,1.44383260751199,0.786,0.57,0,"Meristem","Os10g0411800"
"54",0,1.43785523054921,0.734,0.492,0,"Meristem","Os11g0127900"
"55",0,1.4324674298946,0.331,0.079,0,"Meristem","Os12g0569300"
"56",0,1.42852765093102,0.605,0.31,0,"Meristem","Os11g0168200"
"57",0,1.42509427753502,0.687,0.406,0,"Meristem","Os02g0814700"
"58",0,1.42445365815777,0.693,0.442,0,"Meristem","Os03g0577000"
