gene,name,p_val,p_val_adj,pct_1,pct_2,pct_diff,avg_log2FC,clusterName,celltype_id,species,tissue,dataset
pal_pou25507,pal_pou25507,0.0,0.0,0.606,0.158,0.448,3.25105599643514,Vascular cambium,populus_alba_var_pyramidalis->PO:0009047->PO:0009015->PO:0005598,populus_alba_var_pyramidalis,Stem,CRA004476
pal_pou26720,pal_pou26720,0.0,0.0,0.819,0.338,0.481,2.47755431872839,Vascular cambium,populus_alba_var_pyramidalis->PO:0009047->PO:0009015->PO:0005598,populus_alba_var_pyramidalis,Stem,CRA004476
pal_pou24367,pal_pou24367,0.0,0.0,0.729,0.273,0.456,2.23335050248006,Vascular cambium,populus_alba_var_pyramidalis->PO:0009047->PO:0009015->PO:0005598,populus_alba_var_pyramidalis,Stem,CRA004476
pal_pou31127,pal_pou31127,0.0,0.0,0.81,0.435,0.375,2.05584086348613,Vascular cambium,populus_alba_var_pyramidalis->PO:0009047->PO:0009015->PO:0005598,populus_alba_var_pyramidalis,Stem,CRA004476
pal_pou20282,pal_pou20282,0.0,0.0,0.717,0.254,0.463,1.99868711853124,Vascular cambium,populus_alba_var_pyramidalis->PO:0009047->PO:0009015->PO:0005598,populus_alba_var_pyramidalis,Stem,CRA004476
pal_pou19951,pal_pou19951,0.0,0.0,0.578,0.12,0.458,1.92865063733264,Vascular cambium,populus_alba_var_pyramidalis->PO:0009047->PO:0009015->PO:0005598,populus_alba_var_pyramidalis,Stem,CRA004476
pal_pou13613,pal_pou13613,0.0,0.0,0.604,0.123,0.481,1.67959886848954,Vascular cambium,populus_alba_var_pyramidalis->PO:0009047->PO:0009015->PO:0005598,populus_alba_var_pyramidalis,Stem,CRA004476
pal_pou32586,pal_pou32586,0.0,0.0,0.586,0.147,0.439,1.65469927974551,Vascular cambium,populus_alba_var_pyramidalis->PO:0009047->PO:0009015->PO:0005598,populus_alba_var_pyramidalis,Stem,CRA004476
pal_pou02236,pal_pou02236,0.0,0.0,0.904,0.411,0.493,1.63636607786271,Vascular cambium,populus_alba_var_pyramidalis->PO:0009047->PO:0009015->PO:0005598,populus_alba_var_pyramidalis,Stem,CRA004476
pal_pou13602,pal_pou13602,0.0,0.0,0.567,0.125,0.442,1.57923365320705,Vascular cambium,populus_alba_var_pyramidalis->PO:0009047->PO:0009015->PO:0005598,populus_alba_var_pyramidalis,Stem,CRA004476
