"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
"1",0,2.07423475761043,0.917,0.891,0,"Ground meristem cells","Potri_T005800"
"2",0,1.90570064466509,1,0.999,0,"Ground meristem cells","Potri_011G074200"
"3",0,1.83757876996786,0.979,0.971,0,"Ground meristem cells","Potri_013G143100"
"4",1.10843085887869e-181,1.81851059706733,0.59,0.532,4.69387215809357e-177,"Ground meristem cells","Potri_T063100"
"5",0,1.807692782039,0.858,0.822,0,"Ground meristem cells","Potri_013G142100"
"6",0,1.78100196852498,0.953,0.934,0,"Ground meristem cells","Potri_013G139900"
"7",1.7611030502077e-303,1.73665827903146,0.732,0.718,7.45774308671455e-299,"Ground meristem cells","Potri_011G075000"
"8",0,1.71478002245677,0.812,0.79,0,"Ground meristem cells","Potri_013G136600"
"9",5.66060982473803e-85,1.69261303190117,0.436,0.378,2.39709844248182e-80,"Ground meristem cells","Potri_012G062600"
"10",0,1.63170498959897,0.719,0.674,0,"Ground meristem cells","Potri_013G138900"
"11",4.72837169504325e-106,1.62936074340474,0.509,0.476,2.00232356169997e-101,"Ground meristem cells","Potri_005G154300"
"12",0,1.62626395974762,0.719,0.661,0,"Ground meristem cells","Potri_014G188300"
"13",0,1.60596487491691,0.771,0.751,0,"Ground meristem cells","Potri_013G136700"
"14",3.10188343545692e-165,1.59478349182754,0.591,0.551,1.31355457841294e-160,"Ground meristem cells","Potri_011G113600"
"15",1.05404595220995e-205,1.57913544321379,0.629,0.596,4.46356839382345e-201,"Ground meristem cells","Potri_003G067400"
"16",4.0520885607477e-128,1.56299695243989,0.506,0.436,1.71593794281983e-123,"Ground meristem cells","Potri_019G028600"
"17",5.20935048887801e-280,1.55373573283098,0.697,0.66,2.20600365152517e-275,"Ground meristem cells","Potri_013G143300"
"18",1.06886589010724e-77,1.55258340287574,0.472,0.442,4.52632638483712e-73,"Ground meristem cells","Potri_013G142000"
"19",0,1.54622077180451,0.915,0.907,0,"Ground meristem cells","Potri_009G016400"
"20",4.18607791206664e-80,1.48672767847451,0.412,0.343,1.77267841342286e-75,"Ground meristem cells","Potri_T027100"
"21",3.02340422822603e-118,1.47839656977485,0.502,0.445,1.28032098852688e-113,"Ground meristem cells","Potri_009G016500"
"22",2.06738357001234e-105,1.45723672121172,0.492,0.442,8.75474920393124e-101,"Ground meristem cells","Potri_013G142700"
"23",1.31357908461112e-162,1.45189753659004,0.586,0.547,5.56261334960273e-158,"Ground meristem cells","Potri_T006200"
"24",3.69776086623376e-89,1.44329766969896,0.464,0.413,1.56589079402401e-84,"Ground meristem cells","Potri_019G027800"
"25",1.69147918706012e-70,1.43941934827521,0.39,0.327,7.16290691344349e-66,"Ground meristem cells","Potri_019G028500"
"26",5.233945175176e-80,1.42699720391427,0.435,0.384,2.21641876333178e-75,"Ground meristem cells","Potri_013G141000"
"27",3.16506899175474e-256,1.41654581544548,0.706,0.696,1.34031176593838e-251,"Ground meristem cells","ENSRNA049998575"
"28",1.93943838695302e-50,1.40977812088626,0.385,0.348,8.21293973722993e-46,"Ground meristem cells","Potri_003G065100"
"29",3.47008303340311e-79,1.39260644275523,0.416,0.35,1.46947606215522e-74,"Ground meristem cells","Potri_013G075200"
"30",2.54110552922611e-56,1.38739371851111,0.364,0.309,1.07608195846138e-51,"Ground meristem cells","Potri_013G142600"
"31",4.08967444571029e-50,1.36640914989847,0.385,0.35,1.73185443752493e-45,"Ground meristem cells","Potri_011G074100"
"32",8.41068011288426e-35,1.35563094209214,0.308,0.268,3.5616707074031e-30,"Ground meristem cells","Potri_013G092500"
"33",4.55259421145387e-44,1.34809999736009,0.341,0.295,1.92788707072437e-39,"Ground meristem cells","Potri_013G142200"
"34",6.67796515780332e-57,1.3415441921923,0.34,0.274,2.82791790537497e-52,"Ground meristem cells","Potri_013G140500"
"35",3.07399198391378e-55,1.33533548378127,0.351,0.292,1.30174338542797e-50,"Ground meristem cells","Potri_T058800"
"36",1.02327558013533e-74,1.32217221289651,0.452,0.414,4.3332650991991e-70,"Ground meristem cells","Potri_013G140600"
