"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
0,3.61504939728806,0.964,0.235,0,"EXO_iCOR1","Solyc08g078930"
0,3.46879735840283,0.899,0.182,0,"EXO_iCOR1","Solyc08g078910"
0,3.09148572584662,0.756,0.088,0,"EXO_iCOR1","Solyc08g079200"
0,3.07060632354356,0.614,0.178,0,"EXO_iCOR1","Solyc01g109390"
0,2.95895251487752,0.969,0.317,0,"EXO_iCOR1","Solyc08g078870"
0,2.8654580099498,0.916,0.309,0,"EXO_iCOR1","Solyc08g079190"
0,2.44631859043671,0.926,0.466,0,"EXO_iCOR1","Solyc06g067910"
0,2.3567672271683,0.95,0.609,0,"EXO_iCOR1","Solyc03g116060"
0,2.28462462888775,0.549,0.102,0,"EXO_iCOR1","Solyc08g078940"
0,2.23715331289408,0.559,0.046,0,"EXO_iCOR1","Solyc08g074480"
0,2.21338292135685,0.602,0.069,0,"EXO_iCOR1","Solyc08g078900"
0,2.19347412069867,0.95,0.625,0,"EXO_iCOR1","Solyc03g120470"
6.6073346219794e-251,2.12687778923651,0.641,0.327,1.43392375966197e-246,"EXO_iCOR1","Solyc06g011350"
0,2.08236213295913,0.991,0.801,0,"EXO_iCOR1","Solyc02g092790"
0,2.00073707249281,0.949,0.686,0,"EXO_iCOR1","Solyc12g056220"
0,1.99807318335004,0.654,0.151,0,"EXO_iCOR1","Solyc02g086458"
0,1.97865849948926,0.875,0.455,0,"EXO_iCOR1","Solyc09g007770"
0,1.97237578717277,0.569,0.193,0,"EXO_iCOR1","Solyc01g104770"
0,1.91428645242725,0.736,0.255,0,"EXO_iCOR1","Solyc12g005940"
0,1.88620262457402,0.556,0.199,0,"EXO_iCOR1","Solyc12g011023"
4.45151744013179e-228,1.69685503098637,0.723,0.435,9.660683148574e-224,"EXO_iCOR1","Solyc09g007760"
0,1.69086391412886,0.578,0.149,0,"EXO_iCOR1","Solyc07g065110"
0,1.68049145025411,0.624,0.159,0,"EXO_iCOR1","Solyc03g044150"
0,1.62422341878207,0.75,0.3,0,"EXO_iCOR1","Solyc01g102310"
0,1.5870875898791,0.963,0.747,0,"EXO_iCOR1","Solyc11g069430"
0,1.56669708285734,0.997,0.877,0,"EXO_iCOR1","Solyc11g012325"
0,1.55881506385495,0.878,0.64,0,"EXO_iCOR1","Solyc04g081490"
0,1.53858614265028,0.665,0.189,0,"EXO_iCOR1","Solyc12g006997"
0,1.53640902376194,0.781,0.486,0,"EXO_iCOR1","Solyc07g045440"
1.08005986772509e-208,1.53573921542828,0.702,0.449,2.34394592493699e-204,"EXO_iCOR1","Solyc11g010390"
0,1.53276878715232,0.681,0.308,0,"EXO_iCOR1","Solyc01g102330"
9.38966909446345e-165,1.52246139561807,0.717,0.466,2.03774598688046e-160,"EXO_iCOR1","Solyc08g008045"
0,1.48138395173356,0.807,0.531,0,"EXO_iCOR1","Solyc06g063240"
0,1.43089569252534,0.729,0.413,0,"EXO_iCOR1","Solyc07g005760"
0,1.39748101007595,0.538,0.132,0,"EXO_iCOR1","Solyc01g008850"
4.62916315827201e-270,1.38859318162977,0.875,0.616,1.00462098860819e-265,"EXO_iCOR1","Solyc10g005100"
0,1.36416918752003,0.663,0.303,0,"EXO_iCOR1","Solyc05g005080"
1.52091071575484e-278,1.3444907220892,0.817,0.501,3.30068043533116e-274,"EXO_iCOR1","Solyc07g053540"
0,1.32001510420112,0.574,0.184,0,"EXO_iCOR1","Solyc04g007400"
0,1.31488569769613,0.989,0.927,0,"EXO_iCOR1","Solyc02g089065"
4.03057259669585e-217,1.29427180836528,0.674,0.432,8.74714864934934e-213,"EXO_iCOR1","Solyc09g009690"
0,1.28254261400212,0.586,0.21,0,"EXO_iCOR1","Solyc01g081570"
0,1.27294954933689,0.999,0.945,0,"EXO_iCOR1","Solyc06g074820"
0,1.27186600523959,0.816,0.573,0,"EXO_iCOR1","Solyc07g048090"
0,1.26145818071522,0.559,0.207,0,"EXO_iCOR1","Solyc03g046270"
4.39922951789425e-236,1.25520432801789,0.731,0.482,9.5472078997341e-232,"EXO_iCOR1","Solyc08g005800"
0,1.22249154903127,0.885,0.66,0,"EXO_iCOR1","Solyc01g091530"
