,p_val,avg_log2FC,pct_1,pct_2,p_val_adj,clusterName,gene
1,0,2.112880195,0.789,0.334,0,MZ,Solyc04g011390
2,0,2.108693674,0.859,0.464,0,MZ,Solyc01g074000
3,0,2.074077002,0.812,0.362,0,MZ,Solyc01g086820
4,0,1.984996783,0.904,0.653,0,MZ,Solyc01g099410
5,0,1.836479423,0.856,0.405,0,MZ,Solyc09g082710
6,0,1.826595474,0.725,0.276,0,MZ,Solyc01g079110
7,0,1.734906606,0.987,0.777,0,MZ,Solyc06g064630
8,0,1.720688173,0.978,0.708,0,MZ,Solyc06g083820
9,0,1.670039199,0.637,0.167,0,MZ,Solyc11g065190
10,0,1.642350171,0.796,0.416,0,MZ,Solyc02g077480
11,0,1.64098037,0.939,0.571,0,MZ,Solyc05g056390
12,0,1.634100926,0.96,0.567,0,MZ,Solyc03g078290
13,0,1.619449747,0.953,0.588,0,MZ,Solyc01g011000
14,0,1.614013368,0.984,0.795,0,MZ,Solyc06g007220
15,0,1.59451194,0.985,0.74,0,MZ,Solyc03g120780
16,0,1.589476528,0.92,0.53,0,MZ,Solyc11g066840
17,0,1.588320265,0.809,0.266,0,MZ,Solyc03g025270
18,0,1.576025432,0.956,0.595,0,MZ,Solyc03g080160
19,0,1.575920607,0.517,0.105,0,MZ,Solyc05g054610
20,0,1.574796544,0.985,0.777,0,MZ,Solyc01g096580
21,0,1.560305825,0.883,0.565,0,MZ,Solyc05g055430
22,0,1.547222931,0.953,0.639,0,MZ,Solyc08g006900
23,0,1.546263169,0.794,0.259,0,MZ,Solyc10g078540
24,0,1.541685241,0.779,0.387,0,MZ,Solyc11g066430
25,0,1.540687204,0.989,0.795,0,MZ,Solyc06g066660
26,0,1.510416787,0.982,0.735,0,MZ,Solyc09g065330
27,0,1.510366727,0.995,0.894,0,MZ,Solyc07g009330
28,0,1.50761211,0.917,0.555,0,MZ,Solyc03g005220
29,0,1.504933487,0.99,0.825,0,MZ,Solyc01g099670
30,0,1.502679529,0.996,0.907,0,MZ,Solyc02g069850
31,0,1.500218135,0.992,0.816,0,MZ,Solyc06g007210
32,0,1.500129524,0.981,0.738,0,MZ,Solyc07g066380
33,0,1.498326732,0.934,0.578,0,MZ,Solyc01g009447
34,0,1.49407931,0.648,0.211,0,MZ,Solyc11g072860
35,0,1.493809979,0.755,0.402,0,MZ,Solyc10g008910
36,0,1.48990679,0.988,0.782,0,MZ,Solyc09g066430
37,0,1.48758414,0.979,0.76,0,MZ,Solyc06g073370
38,0,1.487570134,0.991,0.827,0,MZ,Solyc06g074430
39,0,1.487503529,0.766,0.248,0,MZ,Solyc02g081810
40,0,1.484055544,0.992,0.848,0,MZ,Solyc04g074300
41,0,1.46405547,0.959,0.575,0,MZ,Solyc06g071880
42,0,1.463510428,0.993,0.868,0,MZ,Solyc10g086020
43,0,1.461605074,0.96,0.611,0,MZ,Solyc07g063890
44,0,1.460829626,0.939,0.53,0,MZ,Solyc11g072260
45,0,1.459970094,0.964,0.662,0,MZ,Solyc10g080590
46,0,1.451039824,0.994,0.855,0,MZ,Solyc01g104370
47,0,1.443608134,0.982,0.772,0,MZ,Solyc06g073800
48,0,1.434222255,0.643,0.291,0,MZ,Solyc09g083380
