"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
"1",0,3.69960454469188,0.817,0.099,0,"Ribzone","Solyc02g062170"
"2",0,3.44128684539555,0.648,0.047,0,"Ribzone","Solyc07g066050"
"3",0,3.41084953003517,0.676,0.066,0,"Ribzone","Solyc03g096870"
"4",0,3.19009768042563,0.838,0.138,0,"Ribzone","Solyc02g088830"
"5",0,3.17705772308892,0.772,0.09,0,"Ribzone","Solyc07g043070"
"6",0,2.85714650791165,0.596,0.053,0,"Ribzone","Solyc06g072830"
"7",3.05501907613224e-177,2.74616094307292,0.489,0.092,6.07185041381284e-173,"Ribzone","Solyc08g078640"
"8",0,2.70125325774012,0.832,0.19,0,"Ribzone","Solyc05g055680"
"9",0,2.63591321125083,0.664,0.083,0,"Ribzone","Solyc08g006790"
"10",0,2.56443635599084,0.609,0.071,0,"Ribzone","Solyc04g082430"
"11",2.32943558536184e-248,2.53377026191746,0.619,0.109,4.62975322590666e-244,"Ribzone","Solyc02g072500"
"12",5.97387922876366e-296,2.50638778819607,0.876,0.25,1.18730849671678e-291,"Ribzone","Solyc11g065190"
"13",9.6591964631828e-253,2.49717334019485,0.567,0.08,1.91976529705758e-248,"Ribzone","Solyc09g015170"
"14",2.70569458673599e-279,2.48629513973711,0.786,0.179,5.37756799113778e-275,"Ribzone","Solyc08g082070"
"15",1.29786617404493e-267,2.43799470757766,0.706,0.142,2.5795090209143e-263,"Ribzone","Solyc01g080750"
"16",1.52280010101966e-246,2.42029286633677,0.563,0.082,3.02656520077657e-242,"Ribzone","Solyc05g014370"
"17",1.03707102757571e-260,2.36138843282072,0.566,0.076,2.06117866730673e-256,"Ribzone","Solyc03g032190"
"18",2.40267086551831e-234,2.34917023156687,0.549,0.083,4.77530834521764e-230,"Ribzone","Solyc09g075550"
"19",1.13622389241121e-243,2.30311557905668,0.436,0.039,2.25824498616728e-239,"Ribzone","Solyc02g082820"
