"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
"1",0,2.06404919485062,0.816,0.105,0,"Cortex","Zm00001d017508"
"2",0,1.96039763799359,0.989,0.528,0,"Cortex","Zm00001d047117"
"3",0,1.93755837131121,0.941,0.296,0,"Cortex","Zm00001d018704"
"4",0,1.9255775530234,0.964,0.239,0,"Cortex","Zm00001d026163"
"5",0,1.92015231903484,0.969,0.226,0,"Cortex","Zm00001d029859"
"6",0,1.92000351162453,0.835,0.117,0,"Cortex","Zm00001d026162"
"7",0,1.81387781703085,0.914,0.225,0,"Cortex","Zm00001d047114"
"8",0,1.7274280838237,0.743,0.192,0,"Cortex","Zm00001d022457"
"9",0,1.63892672809853,0.703,0.099,0,"Cortex","Zm00001d017494"
"10",0,1.53754346437463,0.738,0.095,0,"Cortex","Zm00001d019163"
"11",0,1.50253577492647,0.908,0.218,0,"Cortex","Zm00001d020958"
"12",0,1.49935262089925,0.838,0.261,0,"Cortex","Zm00001d021168"
"13",0,1.43914940056761,0.873,0.374,0,"Cortex","Zm00001d043047"
"14",0,1.42814978724261,0.613,0.102,0,"Cortex","Zm00001d048723"
"15",0,1.39254155950074,0.933,0.274,0,"Cortex","Zm00001d044339"
"16",0,1.37971592181523,0.819,0.232,0,"Cortex","Zm00001d034382"
"17",0,1.37738428409913,0.779,0.227,0,"Cortex","Zm00001d044762"
"18",0,1.3733933826802,0.718,0.118,0,"Cortex","Zm00001d051934"
"19",0,1.32520336156289,0.804,0.257,0,"Cortex","Zm00001d037637"
"20",0,1.31318034605586,0.828,0.278,0,"Cortex","Zm00001d028750"
"21",0,1.31037260063438,0.894,0.378,0,"Cortex","Zm00001d026177"
"22",0,1.3043398159579,0.973,0.617,0,"Cortex","Zm00001d042541"
"23",0,1.30070725352603,0.784,0.174,0,"Cortex","Zm00001d047113"
"24",0,1.29780889506868,0.782,0.261,0,"Cortex","Zm00001d052254"
"25",0,1.2916746683454,0.986,0.597,0,"Cortex","Zm00001d033855"
"26",0,1.28827041306655,0.985,0.664,0,"Cortex","Zm00001d051362"
"27",0,1.2877566980596,0.589,0.074,0,"Cortex","Zm00001d038163"
"28",0,1.27957007931982,0.954,0.555,0,"Cortex","Zm00001d042540"
"29",0,1.2759450238224,0.915,0.47,0,"Cortex","Zm00001d036234"
"30",0,1.26796412475711,0.522,0.081,0,"Cortex","Zm00001d030199"
"31",0,1.2639185322088,0.865,0.286,0,"Cortex","Zm00001d033457"
"32",0,1.23258130297192,0.722,0.178,0,"Cortex","Zm00001d010632"
"33",0,1.22107012657283,0.515,0.024,0,"Cortex","Zm00001d052518"
"34",0,1.18934451154214,0.992,0.583,0,"Cortex","Zm00001d041173"
"35",0,1.181902374365,0.572,0.025,0,"Cortex","Zm00001d027290"
"36",0,1.17317350538479,0.704,0.224,0,"Cortex","Zm00001d003283"
"37",0,1.17069414854836,0.815,0.396,0,"Cortex","Zm00001d002564"
"38",0,1.15837670245595,0.817,0.293,0,"Cortex","Zm00001d046186"
"39",0,1.15515925049381,0.959,0.562,0,"Cortex","Zm00001d028721"
"40",0,1.14299567430135,0.848,0.308,0,"Cortex","Zm00001d044677"
"41",0,1.14192765156177,0.542,0.099,0,"Cortex","Zm00001d022458"
"42",0,1.13701054682719,0.936,0.46,0,"Cortex","Zm00001d023294"
"43",0,1.13302607509999,0.909,0.342,0,"Cortex","Zm00001d015852"
"44",0,1.12906538466419,0.938,0.596,0,"Cortex","Zm00001d052264"
"45",0,1.12864315937751,0.909,0.531,0,"Cortex","Zm00001d012456"
"46",0,1.12814773359597,0.89,0.402,0,"Cortex","Zm00001d031727"
"47",0,1.12787603999009,0.691,0.18,0,"Cortex","Zm00001d010007"
"48",0,1.12449265663786,0.994,0.66,0,"Cortex","Zm00001d027619"
"49",0,1.11068658656487,0.74,0.223,0,"Cortex","Zm00001d028744"
"50",0,1.11028729425955,0.591,0.12,0,"Cortex","Zm00001d019560"
"51",0,1.10266422474786,0.88,0.411,0,"Cortex","Zm00001d019565"
"52",0,1.09622781093222,0.716,0.104,0,"Cortex","Zm00001d023680"
"53",0,1.09411229326918,0.689,0.057,0,"Cortex","Zm00001d028164"
"54",0,1.09351955035841,0.961,0.645,0,"Cortex","Zm00001d028230"
"55",0,1.08819825762279,0.619,0.298,0,"Cortex","Zm00001d008548"
"56",0,1.06906151474558,0.53,0.094,0,"Cortex","Zm00001d017288"
"57",0,1.06660711904373,0.861,0.349,0,"Cortex","Zm00001d028260"
"58",0,1.06059258762283,0.972,0.647,0,"Cortex","Zm00001d002690"
"59",0,1.06056425619329,0.766,0.115,0,"Cortex","Zm00001d005001"
"60",0,1.05686367476191,0.896,0.452,0,"Cortex","Zm00001d008210"
"61",0,1.04159688141596,0.765,0.212,0,"Cortex","Zm00001d044037"
"62",0,1.03434469517968,0.86,0.485,0,"Cortex","Zm00001d012957"
"63",0,1.02939699648343,0.627,0.176,0,"Cortex","Zm00001d039764"
"64",0,1.02883814026103,0.959,0.578,0,"Cortex","Zm00001d004921"
"65",0,1.02766753417672,0.928,0.579,0,"Cortex","Zm00001d021647"
